ID,Organism,type
0,RBC_38 gi|406907169|gb|EKD48085.1|,Peregrinibacteria,II/III
1,"gwf2_scaffold_583_77 ribulose bisphosphate carboxylase (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=PER_GWF2_38_29 id=5095786 bin=""PER_GWF2_38_29"" species=PER_GWF2_38_29 genus=unknown taxon_order=unknown taxon_class=unknown phylum=Peregrinibacteria (PER) organism_tax=Peregrinibacteria organism_desc=IN PAPER CLONED BY TABITA-ACTIVE",Peregrinibacteria,II/III
2,"gi|1572539700|emb|VDD88952.1| RuBisCO long chain, Form III-b [uncultured bacterium]",Amesbacteria,IIIb
3,"gi|1572539462|emb|VDD88772.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
4,"gi|1572539558|emb|VDD88848.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
5,"gi|1572539945|emb|VDD88978.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
6,"gi|1572539386|emb|VDD88718.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
7,"gi|1572540067|emb|VDD89078.1| RuBisCO long chain, Form III-b [uncultured bacterium]",Amesbacteria,IIIb
8,"gi|1572539574|emb|VDD88866.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
9,"gi|1572540269|emb|VDD89222.1| RuBisCO long chain, Form unknown [uncultured archaeon]",Micrarchaeota,unknown
10,"gi|735013727|gb|KHO47783.1| ribulose-bisphosphate carboxylase large chain [archaeon GW2011_AR5] >gi|1572539684|emb|VDD88944.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Aenigmarchaeota,IIIb
11,"gi|1572540301|emb|VDD89247.1| RuBisCO long chain, Form III-c [uncultured bacterium]",Kuenenbacteria,IIIc
12,"gi|1572540253|emb|VDD89214.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
13,gi|1277868389|gb|PIU76120.1| type III ribulose-bisphosphate carboxylase [Candidatus Pacearchaeota archaeon CG06_land_8_20_14_3_00_35_12],Pacearchaeota,IIIb
14,"gi|1572539949|emb|VDD88980.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
15,"gi|1572540177|emb|VDD89155.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Aenigmarchaeota,IIIb
16,gi|1277768226|gb|PIT85720.1| type III ribulose-bisphosphate carboxylase [Candidatus Micrarchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_59_7],Micrarchaeota,IIIb
17,"gi|1572540261|emb|VDD89218.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
18,gi|738479616|ref|WP_036429835.1| form I ribulose bisphosphate carboxylase large subunit [Mycolicibacterium mageritense] >gi|602544287|emb|CDO21134.1| Ribulose bisphosphate carboxylase large chain [Mycolicibacterium mageritense DSM 44476 = CIP 104973],reference,I
19,"gi|1572539530|emb|VDD88826.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
20,gi|1276446210|gb|PIO08000.1| type III ribulose-bisphosphate carboxylase [Candidatus Pacearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_34_12],Pacearchaeota,IIIb
